Permit #,Establishment Name,Address,Zip,Est Type,First Seen,Last Seen,Inspections
79974,NEW BEGINNINGS EARLY LEARNING CENTER,585 W. MAIN ST.,40507,LEARNING CENTER,2008-02-20,2025-08-11,88
80011,SAUL GOOD RESTAURANT AND PUB,"3801 MALL ROAD, SUITE 120",40503,605,2008-02-22,2022-11-03,111
80049,SAM'S INTERNATIONAL MARKET,393 WALLER AVENUE,40504,610,2008-03-06,2024-02-02,7
80162,THE BACKDOOR,6270 ATHENS WALNUT HILL RD.,40515,605,2008-03-06,2019-03-10,53
80175,MOLLY BROOKES IRISH BAR,109 N LIMESTONE ST,40507,BAR,2008-03-11,2025-11-04,133
80213,LEXINGTON INN,2221 ELKHORN,40505,605,2008-03-12,2025-09-30,80
80349,BLAZER XPRESS,131 MARTIN LUTHER KING BLVD,40506,610,2008-02-28,2013-04-30,13
80351,WILDCAT PANTRY - STUDENT CENTER,404 S LIMESTONE,40506,610,2008-02-28,2015-04-17,15
80353,WILDCAT PANTRY @ COMMONS,770 WOODLAND AVE.,40506,610,2008-02-28,2015-11-24,17
80355,STARBUCKS @ BOWMAN'S DEN,220 AVENUE OF CHAMPIONS,40506,605,2008-02-28,2017-10-24,36
80453,PANADERIA TORREON,1930 OXFORD CIRCLE,40504,65,2009-06-09,2025-08-21,101
80464,BLUE CHIP CAFE,GATTON COLLEGE OF BUSINESS,40506,607,2008-03-14,2014-03-13,14
80467,KIDS UNLIMITED,1365 DEVONPORT DRIVE,40504,605,2008-04-18,2020-01-07,62
80475,SUBWAY @ BOWMAN'S DEN,220 AVENUE OF CHAMPIONS,40506,605,2008-03-21,2017-10-24,44
80476,JIMMY JOHN'S,333 EAST MAIN ST.,40507,605,2008-04-01,2018-06-15,63
80512,ASHLAND AVE. BAPTIST CHURCH,483 W. REYNOLDS RD.,40503,CHURCH,2008-03-27,2025-09-23,79
80513,EAST END TAP AND TABLE,"333 E. MAIN ST., STE 180",40507,605,2008-05-12,2025-11-07,50
80653,LITTLE CAESARS PIZZA,3805 DYLAN PLACE #110,40514,605,2008-04-18,2025-11-10,85
80751,LA PATRONA,1424 VERSAILLES RD,40504,605,2008-04-17,2021-03-05,85
80843,PUCCINI'S SMILING TEETH,3191 BEAUMONT CENTRE CR #110,40513,605,2008-05-02,2014-06-24,8
80965,COMMON GROUNDS,4772 HARTLAND PARKWAY #128,40515,605,2008-04-28,2025-10-20,85
80974,LA MICHOACANA DE LEXINGTON,1801 ALEXANDRIA DR #176,40504,11,2009-02-24,2025-11-25,122
80997,"SMASHING TOMATO 2, LLC",2200 WAR ADMIRAL WAY,40509,605,2008-05-09,2025-11-21,89
81053,QDOBA MEXICAN EATS #2521,101 E. TIVERTON WAY,40503,605,2008-06-17,2023-02-02,57
81072,"MELTING POT, THE",152 W TIVERTON WAY STE 130,40503,605,2008-05-16,2015-06-12,18
81149,4 SPICE INDIAN CUISINE,3801 NICHOLASVILLE CTR DR #305,40503,605,2008-05-16,2015-10-27,43
81169,FRUTERIA LAS VERACRUZANAS,"133 VENTURE CT, STE 170",40511,610,2008-05-23,2018-11-29,36
81245,VINAIGRETTE SALAD KITCHEN,"2200 WAR ADMIRAL WAY, STE 195",40509,605,2008-05-29,2025-08-22,90
81251,"BARTER HOUSE PLUS SOUL FOOD EXPRESS, THE",891 GEORGETOWN ST,40508,605,2008-05-05,2012-08-23,17
81252,CRANK & BOOM CRAFT ICE CREAM,3101 CLAYS MILL RD STE 301,40503,CREAM,2008-06-12,2025-11-17,126
81292,CHICK-FIL-A,2514 NICHOLASVILLE RD,40503,605,2008-05-06,2025-08-18,83
